Organization,Country,Lattitude,Longitude,Industry,Organization size,Owner,Lead acquisition date,Product,Status,Status sequence,Stage,Stage sequence,"Deal Value, $","Probability, %",Expected close date,Actual close date,,
Rowe-Volkman,Netherlands,52.370216,4.895168,IT & IT Services,Small (11-200),Jessica Martinez,2/29/24,SAAS,Opportunity,5,Proposal sent,4,1589,30,10/25/24,,,
Towne-Mayer,Portugal,38.736946,-9.142685,Agriculture & Mining,Small (11-200),Jessica Martinez,3/14/24,Services,Opportunity,5,Proposal sent,4,1153,20,2/15/25,,,
"Franecki, Torphy and Hayes",Portugal,38.736946,-9.142685,Recreation & Sports,Small (11-200),Jessica Martinez,3/13/24,SAAS,Opportunity,5,Proposal sent,4,1084,50,11/13/24,,,
O'Conner-Gibson,Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Michael Brown,2/23/24,SAAS,Opportunity,5,Proposal sent,4,541,80,5/4/24,,,
Adams-Casper,France,48.864716,2.349014,Transportation & Logistics,Small (11-200),Jessica Martinez,2/27/24,SAAS,Opportunity,5,Proposal sent,4,694,40,12/26/24,,,
Crist LLC,Austria,48.210033,16.363449,Professional Services  & Consulting,Small (11-200),Laura Thompson,3/6/24,SAAS,Opportunity,5,Proposal sent,4,416,20,11/4/24,,,
Schmeler-Bayer,Austria,48.210033,16.363449,Construction & Engineering,Small (11-200),Michael Brown,1/20/24,SAAS,Opportunity,5,Proposal sent,4,1693,10,9/28/24,,,
Ferry-Weber,Netherlands,52.370216,4.895168,Banking and Finance,Small (11-200),Laura Thompson,5/6/24,Services,Opportunity,5,Proposal sent,4,1516,20,7/14/24,,,
Weber Group,Switzerland,46.204391,6.143158,Banking and Finance,Small (11-200),Laura Thompson,5/21/24,SAAS,Opportunity,5,Proposal sent,4,1172,60,4/24/25,,,
McKenzie Inc,Portugal,38.736946,-9.142685,Entertainment & Media & Hospitality,Small (11-200),Jessica Martinez,3/23/24,Services,Opportunity,5,Proposal sent,4,1829,30,4/26/24,,,
Hermiston Inc,Germany,52.520008,13.404954,Telecommunications,Small (11-200),Jessica Martinez,2/19/24,SAAS,Opportunity,5,Proposal sent,4,785,30,6/14/24,,,
Jones Group,Italy,41.902782,12.496366,IT & IT Services,Small (11-200),Michael Brown,3/23/24,SAAS,Opportunity,5,Proposal sent,4,1699,30,3/7/25,,,
"Bernhard, Stokes and Carroll",Portugal,38.736946,-9.142685,Agriculture & Mining,Small (11-200),David Wilson,2/1/24,SAAS,Opportunity,5,Proposal sent,4,697,70,3/29/24,,,
O'Connell-Deckow,Switzerland,46.204391,6.143158,Manufacturing & Production,Small (11-200),Laura Thompson,3/24/24,Custom solution,Opportunity,5,Proposal sent,4,1971,40,8/20/24,,,
Monahan-Turner,Netherlands,52.370216,4.895168,Professional Services  & Consulting,Small (11-200),David Wilson,5/12/24,SAAS,Opportunity,5,Proposal sent,4,1835,30,2/2/25,,,
"Oberbrunner, Hintz and Frami",Portugal,38.736946,-9.142685,Recreation & Sports,Small (11-200),Laura Thompson,1/19/24,Custom solution,Opportunity,5,Proposal sent,4,402,10,6/19/24,,,
"Rogahn, Rice and Christiansen",Italy,41.902782,12.496366,Banking and Finance,Small (11-200),Emily Johnson,2/22/24,SAAS,Opportunity,5,Proposal sent,4,280,30,7/18/24,,,
"Carter, Bayer and Okuneva",Austria,48.210033,16.363449,Transportation & Logistics,Small (11-200),Emily Johnson,4/16/24,SAAS,Opportunity,5,Proposal sent,4,1312,40,4/16/25,,,
King-Simonis,Italy,41.902782,12.496366,Construction & Engineering,Small (11-200),Kevin Anderson,5/5/24,Custom solution,Opportunity,5,Proposal sent,4,1424,30,1/22/25,,,
Quitzon-Ruecker,Switzerland,46.204391,6.143158,Agriculture & Mining,Small (11-200),Jessica Martinez,2/7/24,Services,Opportunity,5,Proposal sent,4,801,50,1/10/25,,,
Turner-Leuschke,France,48.864716,2.349014,Telecommunications,Small (11-200),Laura Thompson,5/9/24,SAAS,Opportunity,5,Proposal sent,4,287,60,1/16/25,,,
Jazzy,Italy,41.902782,12.496366,Entertainment & Media & Hospitality,Micro (1-10),Laura Thompson,1/13/24,SAAS,Opportunity,5,Proposal sent,4,726,90,12/13/24,,,
Trudoo,Italy,41.902782,12.496366,Professional Services  & Consulting,Micro (1-10),Kevin Anderson,1/19/24,Services,Opportunity,5,Proposal sent,4,648,60,9/15/24,,,
Devify,Portugal,38.736946,-9.142685,Retail & Distribution,Micro (1-10),Michael Brown,4/29/24,Custom solution,Opportunity,5,Proposal sent,4,379,20,2/3/25,,,
Zooveo,Germany,52.520008,13.404954,Banking and Finance,Micro (1-10),Laura Thompson,4/16/24,Services,Opportunity,5,Proposal sent,4,428,50,11/20/24,,,
Yamia,Netherlands,52.370216,4.895168,IT & IT Services,Micro (1-10),Michael Brown,4/17/24,SAAS,Opportunity,5,Proposal sent,4,238,10,1/29/25,,,
Buzzdog,Belgium,51.260197,4.402771,Energy & Utilities,Micro (1-10),Jessica Martinez,3/17/24,Services,Opportunity,5,Proposal sent,4,396,30,10/3/24,,,
"Stamm, Weissnat and Collier",France,48.864716,2.349014,Professional Services  & Consulting,Micro (1-10),John Smith,4/21/24,SAAS,Opportunity,5,Proposal sent,4,559,90,5/13/24,,,
"Barton, Hodkiewicz and Hickle",Italy,41.902782,12.496366,Recreation & Sports,Micro (1-10),Michael Brown,4/13/24,SAAS,Opportunity,5,Proposal sent,4,845,40,11/1/24,,,
"Jones, Stark and MacGyver",Portugal,38.736946,-9.142685,Recreation & Sports,Micro (1-10),Laura Thompson,2/29/24,Services,Opportunity,5,Proposal sent,4,776,40,9/1/24,,,
Walsh and Sons,France,48.864716,2.349014,Transportation & Logistics,Micro (1-10),Emily Johnson,4/27/24,SAAS,Opportunity,5,Proposal sent,4,1100,40,10/11/24,,,
"Kulas, Cummings and Bechtelar",Netherlands,52.370216,4.895168,Transportation & Logistics,Micro (1-10),Michael Brown,3/6/24,Services,Opportunity,5,Proposal sent,4,398,10,5/19/24,,,
Hessel-McClure,Germany,52.520008,13.404954,Professional Services  & Consulting,Micro (1-10),Jessica Martinez,1/15/24,Services,Opportunity,5,Proposal sent,4,779,40,3/11/24,,,
Pagac and Sons,Netherlands,52.370216,4.895168,Government Administration Healthcare,Micro (1-10),Jessica Martinez,3/13/24,Services,Opportunity,5,Proposal sent,4,742,60,7/13/24,,,
"White, Murazik and Larkin",Italy,41.902782,12.496366,IT & IT Services,Micro (1-10),Laura Thompson,4/3/24,SAAS,Opportunity,5,Proposal sent,4,396,60,11/25/24,,,
Pfeffer-Prohaska,Italy,41.902782,12.496366,Telecommunications,Micro (1-10),Kevin Anderson,4/6/24,SAAS,Opportunity,5,Proposal sent,4,1128,60,3/17/25,,,
"Hyatt, Hudson and Predovic",Germany,52.520008,13.404954,Transportation & Logistics,Micro (1-10),Kevin Anderson,1/25/24,Services,Opportunity,5,Proposal sent,4,525,20,5/13/24,,,
"Maggio, Bartoletti and Hoppe",France,48.864716,2.349014,Professional Services  & Consulting,Micro (1-10),Laura Thompson,2/18/24,SAAS,Opportunity,5,Proposal sent,4,1157,100,9/5/24,,,
"Schimmel, Denesik and Schmeler",Germany,52.520008,13.404954,Agriculture & Mining,Micro (1-10),Michael Brown,5/6/24,Services,Opportunity,5,Proposal sent,4,1102,50,7/5/24,,,
Schmitt-Bradtke,Portugal,38.736946,-9.142685,Transportation & Logistics,Micro (1-10),Emily Johnson,5/5/24,SAAS,Opportunity,5,Proposal sent,4,1057,20,8/8/24,,,
"Wilkinson, Balistreri and Beier",Italy,41.902782,12.496366,Transportation & Logistics,Micro (1-10),Sarah Davis,4/23/24,SAAS,Opportunity,5,Proposal sent,4,595,60,3/17/25,,,
Leannon-Romaguera,Portugal,38.736946,-9.142685,Education & Science,Micro (1-10),Michael Brown,4/24/24,SAAS,Opportunity,5,Proposal sent,4,690,10,9/14/24,,,
"Jakubowski, Effertz and Lemke",Italy,41.902782,12.496366,IT & IT Services,Micro (1-10),John Smith,5/5/24,SAAS,Opportunity,5,Proposal sent,4,1133,20,1/24/25,,,
"Hirthe, Fisher and Dooley",Germany,52.520008,13.404954,Education & Science,Micro (1-10),Laura Thompson,1/30/24,Custom solution,Opportunity,5,Proposal sent,4,507,40,12/20/24,,,
Tremblay Inc,Italy,41.902782,12.496366,Energy & Utilities,Micro (1-10),Laura Thompson,5/14/24,SAAS,Opportunity,5,Proposal sent,4,1059,100,3/31/25,,,
"Mertz, Adams and Bradtke",Belgium,51.260197,4.402771,IT & IT Services,Micro (1-10),Michael Brown,2/19/24,Services,Opportunity,5,Proposal sent,4,288,30,12/12/24,,,
Hermiston LLC,Netherlands,52.370216,4.895168,Government Administration Healthcare,Micro (1-10),Laura Thompson,5/12/24,Services,Opportunity,5,Proposal sent,4,595,60,9/8/24,,,
Mayer Group,Netherlands,52.370216,4.895168,Government Administration Healthcare,Micro (1-10),Sarah Davis,5/31/24,Custom solution,Opportunity,5,Proposal sent,4,335,40,2/8/25,,,
Wolf-Deckow,Italy,41.902782,12.496366,Telecommunications,Micro (1-10),Sarah Davis,5/2/24,Services,Opportunity,5,Proposal sent,4,314,80,8/19/24,,,
"Franecki, Grant and Prosacco",France,48.864716,2.349014,Transportation & Logistics,Micro (1-10),Laura Thompson,1/22/24,SAAS,Opportunity,5,Proposal sent,4,1031,30,3/27/24,,,
Batz-Russel,Netherlands,52.370216,4.895168,IT & IT Services,Micro (1-10),Laura Thompson,3/12/24,Services,Opportunity,5,Proposal sent,4,219,40,8/5/24,,,
Russel-Stiedemann,Austria,48.210033,16.363449,Transportation & Logistics,Micro (1-10),Kevin Anderson,2/24/24,Services,Opportunity,5,Proposal sent,4,878,40,2/15/25,,,
"Zemlak, O'Reilly and Schowalter",Italy,41.902782,12.496366,Banking and Finance,Micro (1-10),Laura Thompson,4/10/24,SAAS,Opportunity,5,Proposal sent,4,646,40,10/1/24,,,
Douglas-Wiza,France,48.864716,2.349014,Retail & Distribution,Micro (1-10),Michael Brown,4/5/24,SAAS,Opportunity,5,Proposal sent,4,1132,50,12/10/24,,,
"Heidenreich, Murazik and Walsh",Netherlands,52.370216,4.895168,Transportation & Logistics,Micro (1-10),Sarah Davis,2/22/24,Services,Opportunity,5,Proposal sent,4,970,20,8/22/24,,,
"Konopelski, McDermott and Wunsch",Portugal,38.736946,-9.142685,Transportation & Logistics,Micro (1-10),Michael Brown,5/25/24,Services,Opportunity,5,Proposal sent,4,721,90,8/16/24,,,
"Greenholt, Kirlin and Torphy",Portugal,38.736946,-9.142685,IT & IT Services,Micro (1-10),Laura Thompson,2/22/24,SAAS,Opportunity,5,Proposal sent,4,788,100,6/13/24,,,
Skipfire,Spain,40.416775,-3.703790,Transportation & Logistics,Medium (201-500),Kevin Anderson,5/30/24,Services,Opportunity,5,Proposal sent,4,7039,50,7/7/24,,,
Buzzshare,Germany,52.520008,13.404954,Telecommunications,Medium (201-500),Laura Thompson,5/8/24,Services,Opportunity,5,Proposal sent,4,771,30,2/3/25,,,
Photobean,Germany,52.520008,13.404954,Agriculture & Mining,Medium (201-500),Sarah Davis,4/4/24,Services,Opportunity,5,Proposal sent,4,5565,30,10/12/24,,,
Agimba,Austria,48.210033,16.363449,Manufacturing & Production,Medium (201-500),Kevin Anderson,1/9/24,Custom solution,Opportunity,5,Proposal sent,4,5451,90,4/27/24,,,
Twitterbridge,France,48.864716,2.349014,Energy & Utilities,Medium (201-500),Emily Johnson,2/3/24,Custom solution,Opportunity,5,Proposal sent,4,1667,30,4/19/24,,,
Quamba,Spain,40.416775,-3.703790,Government Administration Healthcare,Medium (201-500),David Wilson,3/23/24,Custom solution,Opportunity,5,Proposal sent,4,2685,60,8/7/24,,,
Topiclounge,Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Michael Brown,2/8/24,Services,Opportunity,5,Proposal sent,4,6080,100,5/10/24,,,
Meezzy,Spain,40.416775,-3.703790,Manufacturing & Production,Medium (201-500),Laura Thompson,4/12/24,SAAS,Opportunity,5,Proposal sent,4,1099,60,11/28/24,,,
"Nicolas, Champlin and Dietrich",Switzerland,46.204391,6.143158,Education & Science,Medium (201-500),Jessica Martinez,1/27/24,SAAS,Opportunity,5,Proposal sent,4,7919,30,4/14/24,,,
"Shanahan, Gislason and Vandervort",Italy,41.902782,12.496366,Professional Services  & Consulting,Medium (201-500),Laura Thompson,5/26/24,Services,Opportunity,5,Proposal sent,4,5268,90,5/10/25,,,
"Bogan, Weimann and Rath",Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Laura Thompson,2/17/24,Custom solution,Opportunity,5,Proposal sent,4,5597,50,5/5/24,,,
"Kemmer, O'Hara and DuBuque",Portugal,38.736946,-9.142685,Entertainment & Media & Hospitality,Medium (201-500),David Wilson,3/15/24,SAAS,Opportunity,5,Proposal sent,4,6927,20,11/28/24,,,
Kerluke-McKenzie,Austria,48.210033,16.363449,Transportation & Logistics,Medium (201-500),Laura Thompson,5/26/24,Services,Opportunity,5,Proposal sent,4,7711,20,10/3/24,,,
"Green, Kuhn and O'Connell",Belgium,51.260197,4.402771,Banking and Finance,Medium (201-500),Jessica Martinez,5/13/24,SAAS,Opportunity,5,Proposal sent,4,5878,30,3/1/25,,,
Conroy-Bartoletti,Italy,41.902782,12.496366,Telecommunications,Medium (201-500),Kevin Anderson,5/24/24,Services,Opportunity,5,Proposal sent,4,7387,60,5/22/25,,,
Schamberger LLC,Germany,52.520008,13.404954,Entertainment & Media & Hospitality,Medium (201-500),David Wilson,5/26/24,SAAS,Opportunity,5,Proposal sent,4,3342,40,6/27/24,,,
Renner Inc,Portugal,38.736946,-9.142685,Manufacturing & Production,Medium (201-500),Sarah Davis,2/13/24,SAAS,Opportunity,5,Proposal sent,4,771,20,10/11/24,,,
"McKenzie, Reynolds and Hane",Spain,40.416775,-3.703790,IT & IT Services,Medium (201-500),Sarah Davis,4/3/24,Services,Opportunity,5,Proposal sent,4,6323,40,6/11/24,,,
"Schmidt, Hahn and Frami",France,48.864716,2.349014,Manufacturing & Production,Medium (201-500),John Smith,2/19/24,SAAS,Opportunity,5,Proposal sent,4,2662,40,10/6/24,,,
Adams Group,France,48.864716,2.349014,Retail & Distribution,Medium (201-500),Laura Thompson,4/12/24,Services,Opportunity,5,Proposal sent,4,2879,30,4/2/25,,,
"Beier, Wolf and Schuster",Italy,41.902782,12.496366,Manufacturing & Production,Medium (201-500),Jessica Martinez,3/31/24,SAAS,Opportunity,5,Proposal sent,4,1235,100,3/4/25,,,
Flatley Group,France,48.864716,2.349014,Entertainment & Media & Hospitality,Medium (201-500),John Smith,4/10/24,Services,Opportunity,5,Proposal sent,4,7496,30,1/29/25,,,
Barton Inc,France,48.864716,2.349014,Banking and Finance,Medium (201-500),Michael Brown,1/9/24,Services,Opportunity,5,Proposal sent,4,7008,30,8/13/24,,,
"Skiles, Deckow and Hintz",Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),John Smith,2/27/24,Services,Opportunity,5,Proposal sent,4,613,30,7/31/24,,,
Upton-Parisian,Italy,41.902782,12.496366,Retail & Distribution,Medium (201-500),Emily Johnson,5/31/24,SAAS,Opportunity,5,Proposal sent,4,5859,30,12/16/24,,,
Quigley-Kling,France,48.864716,2.349014,Retail & Distribution,Medium (201-500),Jessica Martinez,3/22/24,Services,Opportunity,5,Proposal sent,4,5386,40,1/9/25,,,
Reilly and Sons,Austria,48.210033,16.363449,Education & Science,Medium (201-500),Laura Thompson,4/6/24,Services,Opportunity,5,Proposal sent,4,5955,20,5/11/24,,,
Kassulke-Keebler,Spain,40.416775,-3.703790,Entertainment & Media & Hospitality,Medium (201-500),Jessica Martinez,4/7/24,Services,Opportunity,5,Proposal sent,4,4031,20,1/17/25,,,
Morar-Berge,Italy,41.902782,12.496366,Manufacturing & Production,Medium (201-500),Jessica Martinez,2/28/24,SAAS,Opportunity,5,Proposal sent,4,7020,40,5/11/24,,,
Emard Group,Italy,41.902782,12.496366,Manufacturing & Production,Medium (201-500),Jessica Martinez,2/29/24,SAAS,Opportunity,5,Proposal sent,4,5759,40,2/8/25,,,
Nolan Group,Portugal,38.736946,-9.142685,Manufacturing & Production,Medium (201-500),Michael Brown,2/15/24,SAAS,Opportunity,5,Proposal sent,4,5029,40,8/9/24,,,
"Stroman, Wehner and Stamm",Italy,41.902782,12.496366,Government Administration Healthcare,Medium (201-500),Laura Thompson,5/11/24,Custom solution,Opportunity,5,Proposal sent,4,1737,80,6/22/24,,,
"Doyle, Osinski and Gleichner",France,48.864716,2.349014,Transportation & Logistics,Medium (201-500),David Wilson,5/29/24,Services,Opportunity,5,Proposal sent,4,5878,100,5/4/25,,,
"Nader, Steuber and Kulas",Portugal,38.736946,-9.142685,Transportation & Logistics,Medium (201-500),Sarah Davis,3/12/24,SAAS,Opportunity,5,Proposal sent,4,467,40,8/27/24,,,
Schmidt-Kunze,Italy,41.902782,12.496366,Manufacturing & Production,Medium (201-500),John Smith,4/25/24,Custom solution,Opportunity,5,Proposal sent,4,1148,60,2/24/25,,,
"MacGyver, Moore and Smith",Switzerland,46.204391,6.143158,Banking and Finance,Medium (201-500),Jessica Martinez,2/29/24,SAAS,Opportunity,5,Proposal sent,4,6322,50,8/10/24,,,
Quigley Group,Germany,52.520008,13.404954,Government Administration Healthcare,Medium (201-500),Jessica Martinez,4/8/24,SAAS,Opportunity,5,Proposal sent,4,7667,80,6/1/24,,,
Lockman Inc,Switzerland,46.204391,6.143158,Professional Services  & Consulting,Medium (201-500),Jessica Martinez,4/5/24,SAAS,Opportunity,5,Proposal sent,4,4290,30,7/6/24,,,
"Schmidt, Skiles and Dare",France,48.864716,2.349014,Banking and Finance,Medium (201-500),Laura Thompson,4/4/24,Services,Opportunity,5,Proposal sent,4,4707,70,12/2/24,,,
Von LLC,Austria,48.210033,16.363449,Banking and Finance,Medium (201-500),David Wilson,3/10/24,SAAS,Opportunity,5,Proposal sent,4,459,60,7/29/24,,,
Ruecker Inc,Germany,52.520008,13.404954,Construction & Engineering,Medium (201-500),Jessica Martinez,2/21/24,SAAS,Opportunity,5,Proposal sent,4,220,40,8/15/24,,,
"Heaney, Fadel and Wiegand",Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Jessica Martinez,3/23/24,SAAS,Opportunity,5,Proposal sent,4,4663,20,7/30/24,,,
"Kohler, Dietrich and Bosco",Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Michael Brown,5/22/24,Custom solution,Opportunity,5,Proposal sent,4,7228,50,6/23/24,,,
Stoltenberg-Fahey,Italy,41.902782,12.496366,Retail & Distribution,Medium (201-500),David Wilson,4/26/24,SAAS,Opportunity,5,Proposal sent,4,1156,20,7/5/24,,,
Ledner-Lindgren,Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Sarah Davis,3/21/24,Services,Opportunity,5,Proposal sent,4,4305,90,8/31/24,,,
Olson LLC,Italy,41.902782,12.496366,Entertainment & Media & Hospitality,Medium (201-500),Sarah Davis,3/6/24,SAAS,Opportunity,5,Proposal sent,4,3479,10,2/2/25,,,
"Wunsch, Hegmann and Bradtke",Portugal,38.736946,-9.142685,Government Administration Healthcare,Medium (201-500),Emily Johnson,3/5/24,Services,Opportunity,5,Proposal sent,4,3733,40,7/27/24,,,
"Bernier, Stamm and Lemke",Belgium,51.260197,4.402771,Transportation & Logistics,Medium (201-500),Laura Thompson,2/18/24,Custom solution,Opportunity,5,Proposal sent,4,2926,20,1/23/25,,,
Mitchell-Veum,Germany,52.520008,13.404954,Energy & Utilities,Medium (201-500),Emily Johnson,4/10/24,Services,Opportunity,5,Proposal sent,4,6552,40,8/6/24,,,
"Hayes, Christiansen and Bahringer",France,48.864716,2.349014,Education & Science,Medium (201-500),Laura Thompson,2/15/24,SAAS,Opportunity,5,Proposal sent,4,2036,80,10/6/24,,,
Lang and Sons,Portugal,38.736946,-9.142685,Government Administration Healthcare,Medium (201-500),Jessica Martinez,3/30/24,Services,Opportunity,5,Proposal sent,4,4525,30,6/20/24,,,
Mills-Ziemann,Austria,48.210033,16.363449,Construction & Engineering,Medium (201-500),Michael Brown,4/27/24,Services,Opportunity,5,Proposal sent,4,3490,40,11/24/24,,,
"Hoppe, Becker and Jacobs",Italy,41.902782,12.496366,Education & Science,Medium (201-500),Kevin Anderson,3/6/24,Custom solution,Opportunity,5,Proposal sent,4,2425,70,8/1/24,,,
Christiansen-Bechtelar,Germany,52.520008,13.404954,Education & Science,Medium (201-500),Laura Thompson,5/27/24,SAAS,Opportunity,5,Proposal sent,4,4625,40,7/27/24,,,
Bartoletti Group,Belgium,51.260197,4.402771,Education & Science,Medium (201-500),Michael Brown,2/20/24,Services,Opportunity,5,Proposal sent,4,1138,20,10/25/24,,,
Rippin and Sons,Belgium,51.260197,4.402771,Construction & Engineering,Medium (201-500),David Wilson,4/2/24,Custom solution,Opportunity,5,Proposal sent,4,3276,100,8/8/24,,,
Sauer-Huels,Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Jessica Martinez,3/25/24,SAAS,Opportunity,5,Proposal sent,4,7195,100,6/9/24,,,
Kerluke-Schuster,Switzerland,46.204391,6.143158,Transportation & Logistics,Medium (201-500),Laura Thompson,5/25/24,Services,Opportunity,5,Proposal sent,4,4718,50,2/25/25,,,
King-McKenzie,Italy,41.902782,12.496366,Agriculture & Mining,Medium (201-500),Laura Thompson,1/25/24,Services,Opportunity,5,Proposal sent,4,729,20,9/29/24,,,
Langosh-Stark,Germany,52.520008,13.404954,IT & IT Services,Medium (201-500),Laura Thompson,1/31/24,Services,Opportunity,5,Proposal sent,4,7735,80,3/16/24,,,
Kreiger Group,Switzerland,46.204391,6.143158,IT & IT Services,Medium (201-500),Jessica Martinez,1/13/24,Custom solution,Opportunity,5,Proposal sent,4,3872,30,10/3/24,,,
Livetube,Italy,41.902782,12.496366,IT & IT Services,Large (501-1000),John Smith,4/13/24,Custom solution,Opportunity,5,Proposal sent,4,9742,40,10/25/24,,,
Rowe-Jacobs,Portugal,38.736946,-9.142685,Government Administration Healthcare,Large (501-1000),Laura Thompson,4/8/24,Custom solution,Opportunity,5,Proposal sent,4,3294,50,11/30/24,,,
Donnelly-Kunze,Spain,40.416775,-3.703790,Professional Services  & Consulting,Large (501-1000),Laura Thompson,3/25/24,SAAS,Opportunity,5,Proposal sent,4,5135,40,12/26/24,,,
Batz-Gleichner,Switzerland,46.204391,6.143158,Agriculture & Mining,Large (501-1000),Kevin Anderson,3/31/24,Services,Opportunity,5,Proposal sent,4,5645,20,6/24/24,,,
Borer-Aufderhar,Switzerland,46.204391,6.143158,Energy & Utilities,Enterprise (1001+),Michael Brown,3/30/24,SAAS,Opportunity,5,Proposal sent,4,4228,60,7/24/24,,,
"Hirthe, Parisian and Pouros",Belgium,51.260197,4.402771,Transportation & Logistics,Enterprise (1001+),Emily Johnson,2/21/24,Custom solution,Opportunity,5,Proposal sent,4,2633,40,12/2/24,,,
Murphy Inc,Spain,40.416775,-3.703790,Government Administration Healthcare,Enterprise (1001+),Kevin Anderson,4/2/24,Services,Opportunity,5,Proposal sent,4,19246,40,10/12/24,,,
Jabberstorm,France,48.864716,2.349014,IT & IT Services,Small (11-200),Laura Thompson,1/5/24,Services,Opportunity,5,Won,5,1226,20,2/25/24,,,
Thoughtsphere,Spain,40.416775,-3.703790,Construction & Engineering,Small (11-200),Kevin Anderson,3/18/24,SAAS,Opportunity,5,Won,5,1744,20,8/21/24,,,
Fivebridge,Spain,40.416775,-3.703790,IT & IT Services,Small (11-200),John Smith,1/8/24,Services,Opportunity,5,Won,5,287,20,2/12/24,,,
Dabtype,Portugal,38.736946,-9.142685,Transportation & Logistics,Small (11-200),Laura Thompson,5/14/24,Custom solution,Opportunity,5,Won,5,1501,40,12/10/24,,,
Corkery LLC,France,48.864716,2.349014,Agriculture & Mining,Small (11-200),Michael Brown,2/19/24,SAAS,Opportunity,5,Won,5,1440,10,12/17/24,,,
"Ledner, Koelpin and Rath",Switzerland,46.204391,6.143158,IT & IT Services,Small (11-200),Laura Thompson,4/25/24,Services,Opportunity,5,Won,5,1915,20,7/23/24,,,
Walter LLC,Germany,52.520008,13.404954,Entertainment & Media & Hospitality,Small (11-200),Jessica Martinez,4/15/24,Custom solution,Opportunity,5,Won,5,1029,20,2/5/25,,,
Runolfsdottir-Kulas,Italy,41.902782,12.496366,Banking and Finance,Small (11-200),John Smith,5/23/24,Custom solution,Opportunity,5,Won,5,641,60,3/11/25,,,
Senger LLC,Netherlands,52.370216,4.895168,Transportation & Logistics,Small (11-200),Michael Brown,5/27/24,Custom solution,Opportunity,5,Won,5,1776,60,11/5/24,,,
Legros-DuBuque,France,48.864716,2.349014,IT & IT Services,Small (11-200),Emily Johnson,3/20/24,SAAS,Opportunity,5,Won,5,1464,60,9/9/24,,,
Mertz Group,Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Michael Brown,5/22/24,SAAS,Opportunity,5,Won,5,1236,90,7/30/24,,,
Harber Inc,Germany,52.520008,13.404954,Professional Services  & Consulting,Small (11-200),Sarah Davis,3/20/24,SAAS,Opportunity,5,Won,5,200,30,2/14/25,,,
"Borer, Durgan and Weber",France,48.864716,2.349014,Entertainment & Media & Hospitality,Small (11-200),Sarah Davis,4/11/24,Services,Opportunity,5,Won,5,698,40,3/20/25,,,
Davis-Waelchi,Italy,41.902782,12.496366,Energy & Utilities,Small (11-200),Michael Brown,1/21/24,SAAS,Opportunity,5,Won,5,1712,60,2/28/24,,,
"Hessel, Zboncak and Rath",Netherlands,52.370216,4.895168,Entertainment & Media & Hospitality,Small (11-200),John Smith,4/29/24,SAAS,Opportunity,5,Won,5,726,60,3/29/25,,,
Harvey Group,Switzerland,46.204391,6.143158,Banking and Finance,Small (11-200),Jessica Martinez,5/7/24,Custom solution,Opportunity,5,Won,5,292,10,6/7/24,,,
"Stoltenberg, Gulgowski and Murazik",Belgium,51.260197,4.402771,Transportation & Logistics,Small (11-200),Laura Thompson,5/5/24,SAAS,Opportunity,5,Won,5,265,20,2/27/25,,,
Hickle LLC,Portugal,38.736946,-9.142685,Recreation & Sports,Small (11-200),Michael Brown,5/22/24,SAAS,Opportunity,5,Won,5,424,20,11/21/24,,,
Miller-Goyette,Netherlands,52.370216,4.895168,Entertainment & Media & Hospitality,Small (11-200),Jessica Martinez,5/26/24,SAAS,Opportunity,5,Won,5,865,20,7/21/24,,,
"Ankunding, Mayer and Sanford",Belgium,51.260197,4.402771,Transportation & Logistics,Small (11-200),John Smith,2/2/24,SAAS,Opportunity,5,Won,5,1284,30,1/7/25,,,
Anderson Inc,Belgium,51.260197,4.402771,IT & IT Services,Small (11-200),Jessica Martinez,3/8/24,SAAS,Opportunity,5,Won,5,1573,50,9/27/24,,,
"Sanford, Koch and Kulas",Netherlands,52.370216,4.895168,Government Administration Healthcare,Small (11-200),John Smith,1/12/24,SAAS,Opportunity,5,Won,5,799,10,7/24/24,,,
Champlin LLC,Belgium,51.260197,4.402771,IT & IT Services,Small (11-200),Michael Brown,2/3/24,SAAS,Opportunity,5,Won,5,1108,60,6/27/24,,,
"Beer, Toy and Reichert",Austria,48.210033,16.363449,Transportation & Logistics,Small (11-200),Kevin Anderson,5/18/24,SAAS,Opportunity,5,Won,5,1859,40,2/12/25,,,
Langworth-Conn,Portugal,38.736946,-9.142685,Transportation & Logistics,Small (11-200),David Wilson,5/9/24,SAAS,Opportunity,5,Won,5,1979,100,12/22/24,,,
"Ankunding, Kozey and Hauck",Austria,48.210033,16.363449,Banking and Finance,Small (11-200),Michael Brown,1/16/24,Custom solution,Opportunity,5,Won,5,272,20,3/20/24,,,
"Kuhic, Abernathy and Ward",Spain,40.416775,-3.703790,Government Administration Healthcare,Small (11-200),David Wilson,3/21/24,SAAS,Opportunity,5,Won,5,320,40,12/26/24,,,
